road_link_id,from_node_id,to_node_id,link_type,length
0,0,1,1,1
1,0,10,1,3
2,1,2,1,1
3,1,0,1,1
4,1,11,1,3
5,2,3,1,1
6,2,1,1,1
7,2,12,1,3
8,3,4,1,2
9,3,2,1,3
10,3,13,1,1
11,4,5,1,3
12,4,3,1,1
13,4,14,1,1
14,5,6,1,3
15,5,4,1,2
16,5,15,1,1
17,6,7,1,2
18,6,5,1,3
19,6,16,1,1
20,7,8,1,3
21,7,6,1,3
22,7,17,1,3
23,8,9,1,2
24,8,7,1,1
25,8,18,1,3
26,9,8,1,1
27,9,19,1,3
28,10,11,1,2
29,10,0,1,2
30,10,20,1,2
31,11,12,1,1
32,11,10,1,2
33,11,1,1,2
34,11,21,1,3
35,12,13,1,2
36,12,11,1,2
37,12,2,1,2
38,12,22,1,2
39,13,14,1,1
40,13,12,1,2
41,13,3,1,1
42,13,23,1,1
43,14,15,1,2
44,14,13,1,3
45,14,4,1,3
46,14,24,1,2
47,15,16,1,2
48,15,14,1,1
49,15,5,1,3
50,15,25,1,1
51,16,17,1,2
52,16,15,1,2
53,16,6,1,3
54,16,26,1,2
55,17,18,1,2
56,17,16,1,3
57,17,7,1,2
58,17,27,1,2
59,18,19,1,1
60,18,17,1,3
61,18,8,1,3
62,18,28,1,3
63,19,18,1,2
64,19,9,1,3
65,19,29,1,2
66,20,21,1,2
67,20,10,1,3
68,20,30,1,3
69,21,22,1,1
70,21,20,1,1
71,21,11,1,1
72,21,31,1,2
73,22,23,1,1
74,22,21,1,3
75,22,12,1,3
76,22,32,1,3
77,23,24,1,2
78,23,22,1,2
79,23,13,1,1
80,23,33,1,2
81,24,25,1,3
82,24,23,1,1
83,24,14,1,3
84,24,34,1,2
85,25,26,1,3
86,25,24,1,2
87,25,15,1,3
88,25,35,1,3
89,26,27,1,1
90,26,25,1,3
91,26,16,1,3
92,26,36,1,2
93,27,28,1,1
94,27,26,1,2
95,27,17,1,1
96,27,37,1,3
97,28,29,1,2
98,28,27,1,2
99,28,18,1,3
100,28,38,1,2
101,29,28,1,3
102,29,19,1,3
103,29,39,1,2
104,30,31,1,3
105,30,20,1,3
106,30,40,1,2
107,31,32,1,3
108,31,30,1,2
109,31,21,1,3
110,31,41,1,2
111,32,33,1,3
112,32,31,1,2
113,32,22,1,1
114,32,42,1,2
115,33,34,1,2
116,33,32,1,2
117,33,23,1,3
118,33,43,1,3
119,34,35,1,3
120,34,33,1,3
121,34,24,1,3
122,34,44,1,2
123,35,36,1,2
124,35,34,1,3
125,35,25,1,2
126,35,45,1,1
127,36,37,1,1
128,36,35,1,3
129,36,26,1,2
130,36,46,1,1
131,37,38,1,1
132,37,36,1,1
133,37,27,1,3
134,37,47,1,3
135,38,39,1,2
136,38,37,1,3
137,38,28,1,1
138,38,48,1,3
139,39,38,1,3
140,39,29,1,2
141,39,49,1,2
142,40,41,1,1
143,40,30,1,3
144,40,50,1,2
